No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,d-spacing,TOF_alpha,TOF_Beta
195,2,2,5,1,8,0.1572,103.0635,1.3721,0.613,0,0
196,2,2,0,10,4,0.1582,103.3992,1.3739,0.6159,0,0
197,1,0,6,0,2,0.1631,105.0437,1.3848,0.6298,0,0
198,2,0,6,0,2,0.1642,105.4102,1.3877,0.6329,0,0
199,1,1,5,6,8,0.1667,106.197,1.3944,0.6395,0,0
200,1,0,0,12,2,0.167,106.2922,1.3953,0.6403,0,0
201,2,1,5,6,8,0.1679,106.5713,1.3979,0.6426,0,0
202,2,0,0,12,2,0.1682,106.6671,1.3988,0.6434,0,0
203,1,1,3,10,8,0.1685,106.7542,1.3996,0.6441,0,0
204,1,2,5,3,8,0.1691,106.9294,1.4013,0.6456,0,0
205,2,1,3,10,8,0.1698,107.1323,1.4034,0.6473,0,0
206,1,0,6,2,4,0.1699,107.165,1.4037,0.6476,0,0
207,2,2,5,3,8,0.1703,107.3087,1.4052,0.6488,0,0
208,1,1,2,11,8,0.1709,107.462,1.4068,0.65,0,0
209,2,0,6,2,4,0.1711,107.546,1.4077,0.6507,0,0
210,2,1,2,11,8,0.1721,107.845,1.4109,0.6532,0,0
211,1,0,5,7,4,0.173,108.085,1.4136,0.6552,0,0
212,2,0,5,7,4,0.1743,108.4725,1.418,0.6584,0,0
213,1,3,4,1,8,0.1762,109.0109,1.4245,0.6629,0,0
214,2,3,4,1,8,0.1776,109.4051,1.4295,0.6661,0,0
215,1,3,2,7,8,0.1777,109.4353,1.4299,0.6664,0,0
216,2,3,2,7,8,0.1791,109.8326,1.4352,0.6696,0,0
217,1,4,0,0,2,0.1806,110.2351,1.4406,0.6729,0,0
218,2,4,0,0,2,0.182,110.6383,1.4463,0.6762,0,0
219,1,1,6,1,8,0.1821,110.6443,1.4464,0.6763,0,0
220,2,1,6,1,8,0.1836,111.0506,1.4524,0.6796,0,0
221,1,3,1,8,8,0.184,111.1719,1.4542,0.6806,0,0
222,1,1,4,9,8,0.1848,111.3596,1.457,0.6821,0,0
223,1,2,2,10,8,0.1851,111.4494,1.4584,0.6828,0,0
224,2,3,1,8,8,0.1856,111.5823,1.4605,0.6839,0,0
225,2,1,4,9,8,0.1863,111.7715,1.4634,0.6855,0,0
226,1,2,3,9,8,0.1865,111.8179,1.4642,0.6858,0,0
227,2,2,2,10,8,0.1867,111.862,1.4649,0.6862,0,0
228,2,2,3,9,8,0.1881,112.2333,1.4709,0.6892,0,0
229,1,4,0,2,4,0.1889,112.4231,1.474,0.6907,0,0
230,2,4,0,2,4,0.1905,112.8433,1.4811,0.6941,0,0
231,1,4,1,1,8,0.1909,112.9391,1.4827,0.6949,0,0
232,1,0,3,11,4,0.1912,113.0101,1.4839,0.6954,0,0
233,1,3,3,6,8,0.1915,113.0837,1.4852,0.696,0,0
234,2,4,1,1,8,0.1926,113.3635,1.4901,0.6983,0,0
235,1,3,4,3,8,0.1927,113.3838,1.4905,0.6984,0,0
236,2,0,3,11,4,0.1929,113.4351,1.4914,0.6989,0,0
237,2,3,3,6,8,0.1932,113.5093,1.4927,0.6994,0,0
238,1,1,1,12,8,0.1934,113.5556,1.4936,0.6998,0,0
239,1,0,6,4,4,0.194,113.693,1.4961,0.7009,0,0
240,2,3,4,3,8,0.1945,113.8118,1.4982,0.7019,0,0
241,2,1,1,12,8,0.1952,113.9851,1.5014,0.7032,0,0
242,2,0,6,4,4,0.1958,114.1236,1.504,0.7044,0,0
243,1,0,2,12,4,0.1989,114.8652,1.5182,0.7102,0,0
244,1,1,6,3,8,0.1998,115.0687,1.5223,0.7119,0,0
245,2,0,2,12,4,0.2008,115.3056,1.527,0.7137,0,0
246,2,1,6,3,8,0.2017,115.5108,1.5312,0.7153,0,0
247,1,2,5,5,8,0.2025,115.6882,1.5349,0.7167,0,0
248,2,2,5,5,8,0.2045,116.1357,1.5443,0.7202,0,0
249,1,2,1,11,8,0.2065,116.5809,1.5539,0.7237,0,0
250,1,0,4,10,4,0.2069,116.6836,1.5561,0.7245,0,0
251,2,2,1,11,8,0.2086,117.0362,1.564,0.7273,0,0
252,2,0,4,10,4,0.209,117.1398,1.5663,0.7281,0,0
253,1,4,1,3,8,0.2105,117.4448,1.5733,0.7304,0,0
254,1,2,4,8,8,0.2118,117.7359,1.5801,0.7327,0,0
255,2,4,1,3,8,0.2127,117.908,1.5841,0.734,0,0
256,2,2,4,8,8,0.2141,118.2018,1.5911,0.7363,0,0
257,1,3,0,9,4,0.2156,118.5127,1.5987,0.7387,0,0
258,2,3,0,9,4,0.2179,118.9859,1.6104,0.7423,0,0
259,1,4,2,0,4,0.2183,119.0664,1.6125,0.7429,0,0
260,1,4,0,4,4,0.219,119.2194,1.6163,0.7441,0,0
261,2,4,2,0,4,0.2207,119.5448,1.6247,0.7466,0,0
262,2,4,0,4,4,0.2215,119.6992,1.6287,0.7477,0,0
